Timestamp for sample frequency every 15 min,Temperature_Fahrenheit,Relative_Humidity
2018-07-26 00:00:00,72.5359,95.4099
2018-07-26 00:15:00,72.5745,95.4709
2018-07-26 00:30:00,72.4587,95.4709
2018-07-26 00:45:00,72.2849,95.5015
2018-07-26 01:00:00,72.0532,95.5320
2018-07-26 01:15:00,71.9374,95.6541
2018-07-26 01:30:00,71.9181,95.5930
2018-07-26 01:45:00,71.7637,95.5930
2018-07-26 02:00:00,71.6478,95.5930
2018-07-26 02:15:00,71.4741,95.5015
2018-07-26 02:30:00,71.3003,95.4099
2018-07-26 02:45:00,71.0301,95.4404
2018-07-26 03:00:00,70.7984,95.5930
2018-07-26 03:15:00,70.6826,95.6235
2018-07-26 03:30:00,70.4895,95.6846
2018-07-26 03:45:00,70.2772,95.7151
2018-07-26 04:00:00,70.1613,95.8372
2018-07-26 04:15:00,70.0841,95.9592
2018-07-26 04:30:00,69.9490,96.0508
2018-07-26 04:45:00,69.8138,96.1118
2018-07-26 05:00:00,69.7559,96.1423
2018-07-26 05:15:00,69.6208,96.2644
2018-07-26 05:30:00,69.4277,96.2339
2018-07-26 05:45:00,69.2347,96.2644
2018-07-26 06:00:00,69.1575,96.2644
2018-07-26 06:15:00,69.1382,96.3560
2018-07-26 06:30:00,69.3891,96.4780
2018-07-26 06:45:00,69.8525,96.5085
2018-07-26 07:00:00,70.4895,96.3254
2018-07-26 07:15:00,71.1845,95.9897
2018-07-26 07:30:00,72.6131,95.8982
2018-07-26 07:45:00,74.3120,93.9756
2018-07-26 08:00:00,75.4510,91.5037
2018-07-26 08:15:00,75.8757,89.8557
2018-07-26 08:30:00,76.8409,89.7336
2018-07-26 08:45:00,78.6170,86.6819
2018-07-26 09:00:00,79.4278,84.3931
2018-07-26 09:15:00,80.4896,84.6372
2018-07-26 09:30:00,80.4124,81.0972
2018-07-26 09:45:00,80.9336,80.6089
2018-07-26 10:00:00,81.8603,78.3811
2018-07-26 10:15:00,81.7251,76.5806
2018-07-26 10:30:00,81.6672,73.7424
2018-07-26 10:45:00,82.0726,72.9490
2018-07-26 11:00:00,83.1730,74.1697
2018-07-26 11:15:00,84.0225,72.3691
2018-07-26 11:30:00,84.1383,67.7305
2018-07-26 11:45:00,84.5051,69.0122
2018-07-26 12:00:00,85.1035,67.9441
2018-07-26 12:15:00,86.7059,65.0754
2018-07-26 12:30:00,86.9375,64.5261
2018-07-26 12:45:00,87.5939,60.3757
2018-07-26 13:00:00,88.5206,60.5283
2018-07-26 13:15:00,88.5785,58.3311
2018-07-26 13:30:00,87.9800,58.8499
2018-07-26 13:45:00,89.0032,55.4624
2018-07-26 14:00:00,89.8912,56.3474
2018-07-26 14:15:00,88.9646,56.0117
2018-07-26 14:30:00,89.4665,52.9600
2018-07-26 14:45:00,90.9530,52.7158
2018-07-26 15:00:00,90.1422,53.9670
2018-07-26 15:15:00,91.4743,51.8613
2018-07-26 15:30:00,91.0882,52.1055
2018-07-26 15:45:00,92.5167,48.0161
2018-07-26 16:00:00,92.2465,49.6946
2018-07-26 16:15:00,92.5553,47.0701
2018-07-26 16:30:00,92.4974,47.5278
2018-07-26 16:45:00,93.1152,47.1616
2018-07-26 17:00:00,93.6364,46.0630
2018-07-26 17:15:00,93.6944,43.6521
2018-07-26 17:30:00,93.2310,43.8657
2018-07-26 17:45:00,92.9994,43.5605
2018-07-26 18:00:00,93.3469,43.9573
2018-07-26 18:15:00,92.4009,44.7812
2018-07-26 18:30:00,92.6326,45.5442
2018-07-26 18:45:00,91.7638,45.6663
2018-07-26 19:00:00,90.5090,46.3071
2018-07-26 19:15:00,88.9453,48.8401
2018-07-26 19:30:00,87.7290,51.8308
2018-07-26 19:45:00,86.5900,53.0820
2018-07-26 20:00:00,85.8758,55.0962
2018-07-26 20:15:00,84.2541,59.7654
2018-07-26 20:30:00,83.0958,62.0237
2018-07-26 20:45:00,82.3429,62.9392
2018-07-26 21:00:00,81.8410,63.3970
2018-07-26 21:15:00,81.5900,64.4956
2018-07-26 21:30:00,81.2232,65.7163
2018-07-26 21:45:00,80.0263,68.1577
2018-07-26 22:00:00,79.1382,69.9888
2018-07-26 22:15:00,78.5012,71.3010
2018-07-26 22:30:00,77.8062,72.7048
2018-07-26 22:45:00,77.1691,74.2002
2018-07-26 23:00:00,76.6672,74.9631
2018-07-26 23:15:00,76.4162,75.9092
2018-07-26 23:30:00,76.0687,76.6721
2018-07-26 23:45:00,75.7598,77.6792
2018-07-27 00:00:00,75.4896,78.6558
2018-07-27 00:15:00,75.2965,79.9680
2018-07-27 00:30:00,75.0649,80.9446
2018-07-27 00:45:00,74.7753,81.6160
2018-07-27 01:00:00,74.4857,82.5010
2018-07-27 01:15:00,74.3699,83.2334
2018-07-27 01:30:00,74.1961,83.5081
2018-07-27 01:45:00,73.9645,84.0879
2018-07-27 02:00:00,73.7135,84.4846
2018-07-27 02:15:00,73.4432,85.0950
2018-07-27 02:30:00,73.2309,85.5527
2018-07-27 02:45:00,73.0378,86.0715
2018-07-27 03:00:00,72.7868,86.4072
2018-07-27 03:15:00,72.5359,86.9565
2018-07-27 03:30:00,72.3621,87.5974
2018-07-27 03:45:00,72.2270,88.0552
2018-07-27 04:00:00,72.0339,88.5129
2018-07-27 04:15:00,71.9760,88.9097
2018-07-27 04:30:00,71.7830,89.0928
2018-07-27 04:45:00,71.6671,89.4285
2018-07-27 05:00:00,71.6285,89.6421
2018-07-27 05:15:00,71.4548,89.7642
2018-07-27 05:30:00,71.3196,90.0999
2018-07-27 05:45:00,71.1459,90.3745
2018-07-27 06:00:00,70.9722,90.5881
2018-07-27 06:15:00,70.8756,90.6492
2018-07-27 06:30:00,70.9335,90.9238
2018-07-27 06:45:00,71.0301,91.0459
2018-07-27 07:00:00,71.1073,91.1069
2018-07-27 07:15:00,71.6671,91.5952
2018-07-27 07:30:00,72.8641,91.1069
2018-07-27 07:45:00,75.8371,88.0857
2018-07-27 08:00:00,77.0726,85.9495
2018-07-27 08:15:00,79.6402,81.5854
2018-07-27 08:30:00,81.5321,78.5337
2018-07-27 08:45:00,82.5746,76.7942
2018-07-27 09:00:00,81.8410,77.6182
2018-07-27 09:15:00,82.9607,75.7871
2018-07-27 09:30:00,83.9066,75.7261
2018-07-27 09:45:00,85.3352,72.7048
2018-07-27 10:00:00,85.6055,70.2634
2018-07-27 10:15:00,86.8410,67.9136
2018-07-27 10:30:00,87.1885,63.0918
2018-07-27 10:45:00,87.4588,65.8689
2018-07-27 11:00:00,88.8294,63.0918
2018-07-27 11:15:00,89.3314,62.7866
2018-07-27 11:30:00,91.1654,53.5703
2018-07-27 11:45:00,91.3005,51.4646
2018-07-27 12:00:00,91.1461,52.1055
2018-07-27 12:15:00,92.2272,48.9011
2018-07-27 12:30:00,93.3662,45.1475
2018-07-27 12:45:00,93.6171,45.5442
2018-07-27 13:00:00,93.6171,48.4128
2018-07-27 13:15:00,93.8488,46.7649
2018-07-27 13:30:00,94.1577,48.6265
2018-07-27 13:45:00,94.5052,48.6570
2018-07-27 14:00:00,94.9492,47.1006
2018-07-27 14:15:00,94.9878,48.1077
2018-07-27 14:30:00,95.7214,43.5300
2018-07-27 14:45:00,96.8025,41.4854
2018-07-27 15:00:00,97.4975,39.7458
2018-07-27 15:15:00,97.6326,42.3398
2018-07-27 15:30:00,95.7793,44.1404
2018-07-27 15:45:00,95.9531,43.9573
2018-07-27 16:00:00,96.3778,42.0652
2018-07-27 16:15:00,95.1422,42.5229
2018-07-27 16:30:00,92.6519,44.9949
2018-07-27 16:45:00,90.8758,46.6733
2018-07-27 17:00:00,88.8294,50.5491
2018-07-27 17:15:00,81.0302,62.6646
2018-07-27 17:30:00,76.3583,70.8127
2018-07-27 17:45:00,74.4857,77.3130
2018-07-27 18:00:00,74.8139,78.7473
2018-07-27 18:15:00,74.5050,80.2732
2018-07-27 18:30:00,74.4664,79.2966
2018-07-27 18:45:00,74.9683,79.9375
2018-07-27 19:00:00,76.1073,77.4045
2018-07-27 19:15:00,75.6633,79.2356
2018-07-27 19:30:00,74.7946,80.2427
2018-07-27 19:45:00,74.4471,81.3718
2018-07-27 20:00:00,74.0417,81.9517
2018-07-27 20:15:00,73.7521,82.7451
2018-07-27 20:30:00,73.2888,83.4165
2018-07-27 20:45:00,72.7096,84.0269
2018-07-27 21:00:00,72.3235,84.3320
2018-07-27 21:15:00,72.2656,85.2476
2018-07-27 21:30:00,72.1498,85.7969
2018-07-27 21:45:00,71.9953,86.4377
2018-07-27 22:00:00,71.8795,86.8040
2018-07-27 22:15:00,71.7830,87.2617
2018-07-27 22:30:00,71.6671,87.2617
2018-07-27 22:45:00,71.5127,87.5974
2018-07-27 23:00:00,71.3196,87.6584
2018-07-27 23:15:00,71.1845,88.1162
2018-07-27 23:30:00,71.0494,88.4824
2018-07-27 23:45:00,70.8563,89.4895
2018-07-28 00:00:00,70.5474,90.0388
2018-07-28 00:15:00,70.4123,90.3440
2018-07-28 00:30:00,70.5474,90.6797
2018-07-28 00:45:00,70.5281,90.7407
2018-07-28 01:00:00,70.4702,90.9543
2018-07-28 01:15:00,70.3158,91.2595
2018-07-28 01:30:00,70.1806,91.4121
2018-07-28 01:45:00,70.1420,91.5952
2018-07-28 02:00:00,70.1420,91.6562
2018-07-28 02:15:00,69.9876,91.7783
2018-07-28 02:30:00,70.0648,92.0530
2018-07-28 02:45:00,70.1034,92.2056
2018-07-28 03:00:00,70.0648,92.3276
2018-07-28 03:15:00,70.0455,92.5718
2018-07-28 03:30:00,70.1613,92.8770
2018-07-28 03:45:00,70.1806,92.9685
2018-07-28 04:00:00,70.0841,93.0295
2018-07-28 04:15:00,70.0841,93.3042
2018-07-28 04:30:00,70.1420,93.3652
2018-07-28 04:45:00,70.1034,93.4568
2018-07-28 05:00:00,70.0069,93.4263
2018-07-28 05:15:00,69.8332,93.3652
2018-07-28 05:30:00,69.6594,93.3042
2018-07-28 05:45:00,69.4471,93.3042
2018-07-28 06:00:00,69.3505,93.5483
2018-07-28 06:15:00,69.2926,93.7009
2018-07-28 06:30:00,69.4084,93.1821
2018-07-28 06:45:00,69.6787,92.3582
2018-07-28 07:00:00,70.1806,91.2900
2018-07-28 07:15:00,70.5861,90.1304
2018-07-28 07:30:00,71.8602,89.5811
2018-07-28 07:45:00,74.0803,86.2852
2018-07-28 08:00:00,75.7985,83.3250
2018-07-28 08:15:00,76.5707,80.8530
2018-07-28 08:30:00,77.6131,79.6018
2018-07-28 08:45:00,77.9606,75.3293
2018-07-28 09:00:00,78.3660,71.9114
2018-07-28 09:15:00,79.1769,71.3010
2018-07-28 09:30:00,80.7020,69.0122
2018-07-28 09:45:00,81.7058,65.6248
2018-07-28 10:00:00,81.9954,64.0073
2018-07-28 10:15:00,82.0919,61.5354
2018-07-28 10:30:00,82.6325,61.1692
2018-07-28 10:45:00,84.0804,59.7043
2018-07-28 11:00:00,84.9298,57.5681
2018-07-28 11:15:00,84.6981,55.9202
2018-07-28 11:30:00,84.2541,54.8521
2018-07-28 11:45:00,84.8719,52.5938
2018-07-28 12:00:00,84.8140,53.3567
2018-07-28 12:15:00,84.5823,54.2417
2018-07-28 12:30:00,84.7754,51.6172
2018-07-28 12:45:00,85.1035,53.3872
2018-07-28 13:00:00,86.1460,51.4036
2018-07-28 13:15:00,86.6866,48.5654
2018-07-28 13:30:00,86.2426,47.0701
2018-07-28 13:45:00,86.8217,48.2603
2018-07-28 14:00:00,87.4974,47.4363
2018-07-28 14:15:00,86.0881,47.5278
2018-07-28 14:30:00,86.5128,46.3987
2018-07-28 14:45:00,87.2271,47.3447
2018-07-28 15:00:00,88.3275,45.1169
2018-07-28 15:15:00,88.0958,44.2625
2018-07-28 15:30:00,89.0418,43.6216
2018-07-28 15:45:00,89.8526,43.6521
2018-07-28 16:00:00,89.4858,42.4009
2018-07-28 16:15:00,90.2966,42.7061
2018-07-28 16:30:00,89.4665,41.7905
2018-07-28 16:45:00,89.3121,42.4009
2018-07-28 17:00:00,88.9839,42.9197
2018-07-28 17:15:00,88.9453,44.0488
2018-07-28 17:30:00,89.1769,43.1638
2018-07-28 17:45:00,89.5051,43.5300
2018-07-28 18:00:00,89.7561,41.3633
2018-07-28 18:15:00,89.9878,41.7905
2018-07-28 18:30:00,88.7522,42.0957
2018-07-28 18:45:00,87.8449,42.4314
2018-07-28 19:00:00,86.5514,44.5371
2018-07-28 19:15:00,85.8758,45.4832
2018-07-28 19:30:00,84.3506,47.9551
2018-07-28 19:45:00,83.0958,49.6641
2018-07-28 20:00:00,82.1885,51.4036
2018-07-28 20:15:00,81.3197,53.5703
2018-07-28 20:30:00,80.1807,55.5845
2018-07-28 20:45:00,79.1769,57.0188
2018-07-28 21:00:00,78.4819,58.6667
2018-07-28 21:15:00,77.9606,59.7654
2018-07-28 21:30:00,77.3236,61.5354
2018-07-28 21:45:00,76.5514,63.7021
2018-07-28 22:00:00,76.0880,64.6482
2018-07-28 22:15:00,75.8564,64.1599
2018-07-28 22:30:00,75.5475,64.4651
2018-07-28 22:45:00,75.2386,65.6553
2018-07-28 23:00:00,74.7367,66.7844
2018-07-28 23:15:00,74.0803,68.9817
2018-07-28 23:30:00,73.5397,69.6836
2018-07-28 23:45:00,73.2888,69.4089
2018-07-29 00:00:00,72.8448,70.4771
2018-07-29 00:15:00,72.5166,71.3621
2018-07-29 00:30:00,72.1305,71.7893
2018-07-29 00:45:00,71.6671,73.0405
2018-07-29 01:00:00,71.1652,74.0781
2018-07-29 01:15:00,70.6633,75.1768
2018-07-29 01:30:00,70.3544,76.0618
2018-07-29 01:45:00,70.0069,76.7332
2018-07-29 02:00:00,69.7559,77.0994
2018-07-29 02:15:00,69.6401,77.3435
2018-07-29 02:30:00,69.5629,77.4351
2018-07-29 02:45:00,69.6401,77.0688
2018-07-29 03:00:00,69.6787,77.0994
2018-07-29 03:15:00,69.5243,77.6487
2018-07-29 03:30:00,69.2347,78.4421
2018-07-29 03:45:00,68.8872,78.9304
2018-07-29 04:00:00,68.5011,79.4187
2018-07-29 04:15:00,68.2308,79.8765
2018-07-29 04:30:00,67.8833,80.5784
2018-07-29 04:45:00,67.6131,81.3718
2018-07-29 05:00:00,67.3042,81.9822
2018-07-29 05:15:00,67.2463,81.5854
2018-07-29 05:30:00,67.4972,80.5479
2018-07-29 05:45:00,67.6710,79.3577
2018-07-29 06:00:00,67.8254,78.5642
2018-07-29 06:15:00,67.6324,78.8999
2018-07-29 06:30:00,67.4393,79.6323
2018-07-29 06:45:00,67.5938,79.6934
2018-07-29 07:00:00,67.7868,79.4797
2018-07-29 07:15:00,67.9992,79.9070
2018-07-29 07:30:00,68.9451,79.6323
2018-07-29 07:45:00,70.4316,77.4656
2018-07-29 08:00:00,71.8602,75.6956
2018-07-29 08:15:00,73.0571,73.1626
2018-07-29 08:30:00,73.5011,71.3621
2018-07-29 08:45:00,74.5436,71.0264
2018-07-29 09:00:00,75.9143,68.0967
2018-07-29 09:15:00,77.6904,65.6248
2018-07-29 09:30:00,78.4626,62.6035
2018-07-29 09:45:00,79.0224,61.0776
2018-07-29 10:00:00,78.6556,60.3452
2018-07-29 10:15:00,79.2155,58.0259
2018-07-29 10:30:00,79.9105,55.6760
2018-07-29 10:45:00,80.6247,53.4788
2018-07-29 11:00:00,81.7058,52.6548
2018-07-29 11:15:00,82.4587,52.2581
2018-07-29 11:30:00,82.8641,49.2368
2018-07-29 11:45:00,83.5591,49.3589
2018-07-29 12:00:00,84.4086,48.3518
2018-07-29 12:15:00,84.6016,47.2837
2018-07-29 12:30:00,85.3545,47.4973
2018-07-29 12:45:00,85.6055,47.7109
2018-07-29 13:00:00,85.9337,47.5278
2018-07-29 13:15:00,86.1846,46.5818
2018-07-29 13:30:00,86.6673,46.0325
2018-07-29 13:45:00,85.9916,46.7954
2018-07-29 14:00:00,86.5514,44.9033
2018-07-29 14:15:00,87.6518,46.3682
2018-07-29 14:30:00,90.4704,44.9033
2018-07-29 14:45:00,90.2580,41.7600
2018-07-29 15:00:00,90.0843,42.5535
2018-07-29 15:15:00,91.1268,42.6450
2018-07-29 15:30:00,90.6827,42.1567
2018-07-29 15:45:00,90.6248,42.3704
2018-07-29 16:00:00,90.0264,42.4314
2018-07-29 16:15:00,89.5051,43.6216
2018-07-29 16:30:00,90.2966,43.4995
2018-07-29 16:45:00,90.8179,43.0417
2018-07-29 17:00:00,91.1847,41.7905
2018-07-29 17:15:00,90.6055,41.6074
2018-07-29 17:30:00,90.6248,43.7742
2018-07-29 17:45:00,90.5862,41.8516
2018-07-29 18:00:00,90.6827,42.1262
2018-07-29 18:15:00,89.4279,43.5300
2018-07-29 18:30:00,89.2928,43.6216
2018-07-29 18:45:00,87.6904,44.9033
2018-07-29 19:00:00,86.5900,45.4526
2018-07-29 19:15:00,85.2773,46.9785
2018-07-29 19:30:00,84.2734,48.3518
2018-07-29 19:45:00,83.3468,49.3284
2018-07-29 20:00:00,82.7097,50.7017
